PG.ProteinGroups,[1] yanliu_20180406_Phos_Cyc_1.raw.PG.NrOfPrecursorsUsedForQuantification,[2] yanliu_20180406_Phos_Cyc_2.raw.PG.NrOfPrecursorsUsedForQuantification,[3] yanliu_20180406_Phos_Cyc_3.raw.PG.NrOfPrecursorsUsedForQuantification,[4] yanliu_20180406_Phos_Cyc_4.raw.PG.NrOfPrecursorsUsedForQuantification,[5] yanliu_20180406_Phos_Cyc_5.raw.PG.NrOfPrecursorsUsedForQuantification,[6] yanliu_20180406_Phos_Cyc_6.raw.PG.NrOfPrecursorsUsedForQuantification,[7] yanliu_20180406_Phos_Cyc_7.raw.PG.NrOfPrecursorsUsedForQuantification,[8] yanliu_20180406_Phos_Cyc_8.raw.PG.NrOfPrecursorsUsedForQuantification,[9] yanliu_20180406_Phos_Cyc_9.raw.PG.NrOfPrecursorsUsedForQuantification,[10] yanliu_20180406_Phos_Cyc_10.raw.PG.NrOfPrecursorsUsedForQuantification,[11] yanliu_20180406_Phos_Noco_1.raw.PG.NrOfPrecursorsUsedForQuantification,[12] yanliu_20180406_Phos_Noco_2.raw.PG.NrOfPrecursorsUsedForQuantification,[13] yanliu_20180406_Phos_Noco_3.raw.PG.NrOfPrecursorsUsedForQuantification,[14] yanliu_20180406_Phos_Noco_4.raw.PG.NrOfPrecursorsUsedForQuantification,[15] yanliu_20180406_Phos_Noco_5.raw.PG.NrOfPrecursorsUsedForQuantification,[16] yanliu_20180406_Phos_Noco_6.raw.PG.NrOfPrecursorsUsedForQuantification,[17] yanliu_20180406_Phos_Noco_7.raw.PG.NrOfPrecursorsUsedForQuantification,[18] yanliu_20180406_Phos_Noco_8.raw.PG.NrOfPrecursorsUsedForQuantification,[19] yanliu_20180406_Phos_Noco_9.raw.PG.NrOfPrecursorsUsedForQuantification,[20] yanliu_20180406_Phos_Noco_10.raw.PG.NrOfPrecursorsUsedForQuantification,[1] yanliu_20180406_Phos_Cyc_1.raw.PG.Quantity,[2] yanliu_20180406_Phos_Cyc_2.raw.PG.Quantity,[3] yanliu_20180406_Phos_Cyc_3.raw.PG.Quantity,[4] yanliu_20180406_Phos_Cyc_4.raw.PG.Quantity,[5] yanliu_20180406_Phos_Cyc_5.raw.PG.Quantity,[6] yanliu_20180406_Phos_Cyc_6.raw.PG.Quantity,[7] yanliu_20180406_Phos_Cyc_7.raw.PG.Quantity,[8] yanliu_20180406_Phos_Cyc_8.raw.PG.Quantity,[9] yanliu_20180406_Phos_Cyc_9.raw.PG.Quantity,[10] yanliu_20180406_Phos_Cyc_10.raw.PG.Quantity,[11] yanliu_20180406_Phos_Noco_1.raw.PG.Quantity,[12] yanliu_20180406_Phos_Noco_2.raw.PG.Quantity,[13] yanliu_20180406_Phos_Noco_3.raw.PG.Quantity,[14] yanliu_20180406_Phos_Noco_4.raw.PG.Quantity,[15] yanliu_20180406_Phos_Noco_5.raw.PG.Quantity,[16] yanliu_20180406_Phos_Noco_6.raw.PG.Quantity,[17] yanliu_20180406_Phos_Noco_7.raw.PG.Quantity,[18] yanliu_20180406_Phos_Noco_8.raw.PG.Quantity,[19] yanliu_20180406_Phos_Noco_9.raw.PG.Quantity,[20] yanliu_20180406_Phos_Noco_10.raw.PG.Quantity
A0A096LP55;P07919,1,1,1,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,1,1,1,1,1,46825.33984375,61477.6640625,27490.50390625,12317.5712890625,34659.36328125,17049.99609375,44761.77734375,38343.09375,31709.212890625,15359.1455078125,28018.89453125,20749.326171875,20694.8046875,Filtered,Filtered,16238.7470703125,23171.451171875,27297.400390625,30642.55078125,22305.091796875
A0AVK6,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,298170.40625,336810.1875,392867.1875,448708.375,392259.46875,439048.90625,344839.4375,336959.875,56408.546875,348465.03125,284311.875,243981.78125,202428.1875,236387.125,300098.40625,313054.28125,186292.8125,237222.9375,197346.4375,212862.453125
A0AVT1,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,2,4,3,3,4,195018.546875,220747.890625,370625.28125,332762.28125,175735.359375,438388.75,365387.84375,355037.4375,293681.03125,347529.1875,259876.546875,235396.234375,216146.15625,234235.25,332624.375,325386.84375,286795.71875,326358.3125,226605.125,239432.65625
A0FGR8,4,5,3,5,4,3,5,4,2,5,4,4,4,4,4,4,4,4,5,4,363170.5625,281486.5,156343.390625,250939.390625,479569.28125,293707.03125,241046.078125,411363.875,80209.1328125,421824,402989.4375,305285.34375,408049.90625,442102.78125,440895.375,462074.5625,394056.90625,196050,301495.34375,359223.03125
A0JLT2,4,2,4,4,4,4,4,5,5,5,4,3,2,4,5,5,5,4,3,4,183733.15625,130811.1015625,288792.875,371708.5,264370.21875,361224.375,249283.46875,250869.578125,162878.890625,240270.375,129816.71875,56445.234375,116848.703125,96370.625,144362.125,149416.8125,155081.796875,162437.90625,101148.859375,115068.640625
A0JNW5,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,195624.09375,288149.34375,202828.578125,194489.859375,247068.578125,191332.796875,257933.34375,231917.8125,156644.9375,184093.46875,150510.53125,156400.46875,118261.421875,141609.1875,114519.2265625,134829.703125,132807.15625,138053.359375,179118.671875,120746.1328125
A0MZ66,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,Filtered,1,Filtered,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,126011.1328125,133522.0625,131298.203125,Filtered,158866.3125,Filtered,122880.171875,146140.3125,118571.4375
A1A4G5,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1094856.5,539887.9375,42268.98828125,40629.85546875,1014801.1875,1700260.375,1518592.625,1482924.25,1250186.625,921697.3125
A1A4S6,3,2,3,2,3,3,3,3,3,3,2,3,2,3,3,3,1,3,2,3,327310.90625,442442.5625,401277.6875,357264.125,365073.71875,486146.125,393054.1875,390150.375,324980.90625,489713.1875,615959.0625,499813,531912.5,510948.875,552998.4375,579156.8125,437698.34375,510639.0625,525012.875,434669.0625
A1KXE4,1,Filtered,1,1,2,1,1,1,1,1,1,Filtered,1,1,1,1,1,1,1,1,79679.09375,Filtered,110380.5,130927.3671875,96628.609375,155724.359375,113495.2890625,136404.296875,56171.30859375,98299.6953125,253521.140625,Filtered,151027.5625,357309.15625,210179.859375,182829.671875,151424.25,345808.96875,369161.21875,181321.171875
A1L020,3,3,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,254463.90625,290703.0625,364798.90625,296802.75,265852.1875,337470.28125,243113.078125,383335.625,72659.375,383130.1875,227083.21875,206980.34375,171007.046875,213433.6875,245095.796875,223790.671875,159515.796875,185933.0625,166723.953125,156869.578125
A1L0T0,2,2,2,2,2,2,3,2,2,3,2,3,2,2,3,2,3,2,2,2,152273.3125,188341.671875,154086.625,176638.796875,162833.796875,161281.625,89093.9609375,151502.75,131167.390625,81666.46875,233592.671875,142987.15625,204854.890625,206642.328125,144630.84375,232519.3125,144980.125,218732.78125,198608.703125,180663.59375
A1L170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,344653.75,413764.75,287084.03125,286627.34375,417670.28125,295301.875,253631.890625,249625.4375,179370.421875,262186.96875,189559.40625,200640.234375,179945.90625,230545.625,211161.1875,207142.875,188705.734375,158731.703125,209039.4375,166806
A1L390,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,2171962.25,2172919,2105647,2321552.75,2269846,2644725,2217747,2080215.875,1620782.75,2234129.75,2697422.75,3409364.75,3008010,3435388.75,3421812.25,3326476.5,2802444.25,2910789,3232014.25,2285124.5
A1X283,4,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,4,4,252388.96875,239546.640625,292437.78125,288868.25,231830.84375,235501.875,291242.0625,217819.578125,179861.734375,233766.84375,333231.4375,263331.875,295030.78125,248339.734375,356880.34375,394731.3125,409716.75,305288.6875,258532.203125,218244.328125
A2AJT9,2,3,2,1,3,2,4,3,2,3,3,2,3,3,3,3,2,2,2,3,150698.4375,128655.875,158236.96875,51022.99609375,169179.765625,173789.09375,81116.546875,132761.65625,100147.8828125,79361.859375,91314.5,78383.828125,93388.125,99613.046875,94360.3515625,92738.421875,60758.328125,53689.6953125,78655.6328125,99629.3125
A2RRD8,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,5,5,6,6,5,6,6,6,6,6,Filtered,22788.30078125,Filtered,Filtered,Filtered,Filtered,Filtered,10155.123046875,Filtered,Filtered,48075.94921875,83272.5234375,52290.25,74981.1640625,58981.32421875,60070.1328125,62553.08203125,41866.453125,80935.7890625,61594.88671875
A2RRP1,1,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,1,Filtered,Filtered,1,Filtered,Filtered,1,Filtered,Filtered,1,1,290540.53125,Filtered,Filtered,Filtered,Filtered,268965.5625,Filtered,Filtered,Filtered,263101.5,Filtered,Filtered,212711.5,Filtered,Filtered,197949.734375,Filtered,Filtered,173458.796875,105750.875
A2RU67,Filtered,Filtered,2,1,Filtered,Filtered,1,1,Filtered,1,Filtered,1,Filtered,1,1,1,Filtered,1,1,1,Filtered,Filtered,857055.375,1009201.4375,Filtered,Filtered,812996,800000.375,Filtered,700787.625,Filtered,364603.65625,Filtered,398366.125,465808.3125,522711.4375,Filtered,420608.9375,393708.5625,392875.9375
A2VDJ0,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,2,1,1,2,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,116056.203125,117565.859375,129306.515625,132684.21875,150693.53125,159035.296875,140157.3125,132888.890625,118089.46875,138296.5625
A3KMH1,1,1,1,1,1,1,1,1,1,1,1,1,Filtered,1,1,1,1,Filtered,1,1,117157.59375,145667.625,138257.640625,94050.8203125,188296.75,176180.15625,141978.953125,130339.8203125,80493.6328125,131499.09375,80225.8671875,108353.0859375,Filtered,109861.75,88224.6015625,91028.734375,93293.9296875,Filtered,107532.078125,95755.34375
A3KN83,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,278688.09375,391895.21875,335576,327952.53125,341744.90625,343558.625,307194.71875,252171.5,193242.28125,255457.21875,531408.25,901638.0625,461521.25,539803.1875,352120.96875,465034.46875,460946.4375,503552.46875,528673.0625,452566.6875
A4D1P6,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,86856.9296875,68254.6640625,117800.3125,84093.078125,160188.84375,161439.1875,86615.6953125,130749.4921875,78327.609375,119849.5625,82043.28125,82796.46875,58982.65625,83863.8984375,78858.3671875,70648.390625,74342.171875,72616.78125,82856.234375,81127.625
A4D2B0,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,337452.1875,296818,253890.25,273653.53125,339857.8125,293876.3125,246164.890625,257777.671875,249416.890625,238072.828125,208672.25,218303.890625,186478.375,219564.5625,211421.484375,234109.375,255478.640625,216422.84375,204773.953125,173746.09375
A5A3E0,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,13794696,5109367,11788022,30604134,5372343,20136252,6132760.5,5095828,9300967,13280804,3402442.5,10365408,11330997,7013702.5,16985842,31128308,7274902.5,15747927,9573780,4951792
A5YKK6,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,346997.8125,629417.0625,533123.25,292473.09375,406469.21875,527487.25,422339.1875,442292.09375,278088.96875,397810.15625,319818.1875,322014.6875,324245.71875,432233.6875,275883.84375,348625.59375,372046.1875,256400.625,438649.1875,361235.0625
A5YM69,Filtered,Filtered,2,1,Filtered,Filtered,1,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,97085.515625,127872.734375,Filtered,Filtered,120203.0703125,Filtered,Filtered,Filtered,92245.5,Filtered,Filtered,Filtered,Filtered,129854.0234375,Filtered,Filtered,Filtered,Filtered
A6ND36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1174366.75,1386347.5,1082470.25,966119.625,1258154,1112146.125,1068172,1048662.625,845424,1027346.375,1427409.375,1825042.125,1529952.5,1563487.625,1676676.125,1638057.5,1444697.375,1453514.5,1735609.75,1319490.375
A6NDB9,2,3,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,2,57047.29296875,69763.234375,68373.6015625,76901.203125,69712.25,56165.04296875,62620.421875,63610.984375,52133.74609375,47417.8359375,37008.1328125,38309.1640625,52785.12109375,59348.5859375,42260.734375,46900.55859375,39541.2109375,29400.26953125,42596.94921875,21493.5703125
A6NDG6,1,1,1,1,1,1,1,1,1,1,Filtered,1,Filtered,1,Filtered,1,Filtered,1,1,1,5937.70458984375,68131.96875,20740.025390625,16563.15625,24563.146484375,20452.44140625,19210.53125,18223.1640625,11695.197265625,10473.47265625,Filtered,8493.7265625,Filtered,20083.76171875,Filtered,6036.1826171875,Filtered,2626.6611328125,8169.09326171875,5587.78955078125
A6NE01,Filtered,Filtered,Filtered,1,Filtered,Filtered,1,1,1,1,1,1,1,1,1,2,1,1,Filtered,2,Filtered,Filtered,Filtered,2513531.75,Filtered,Filtered,527488.0625,2487567,67719.4296875,571994.1875,795291.3125,507022.40625,400004.34375,309859.59375,304244.71875,603835,15655802,432772.65625,Filtered,576080.75
A6NFI3,2,2,2,2,2,2,2,2,2,2,5,5,4,4,4,5,5,4,4,5,967896.1875,1037412.4375,797066.9375,866313.125,993005.3125,848419.6875,801824.25,854895.5,676858.5625,841922.375,430373.71875,385933.59375,396992.9375,444430.71875,493125.90625,424491.84375,412451.71875,431389.65625,492085.15625,376172.5
A6NGC4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,132573.734375,123219.6328125,82792.5546875,65811.03125,140189.765625,57453.765625,76019.6015625,103788.7890625,61303.94921875,61123.578125,65915.484375,92045.171875,103378.09375,102980.53125,60508.984375,106730.75,98690.421875,67894.9375,105269.609375,77044.0703125
A6NHL2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,106985.703125,41136.95703125,151786.0625,128665.1875,45246.19140625,79456.71875,126282.5234375,152100.203125,390443.4375,146265.453125,135081.71875,96116.3359375,106924.71875,109626.0078125,71340.4453125,74215.8828125,75694.7734375,124643.265625,73976.7421875,120928.65625
A6NHR9,3,3,1,2,2,2,1,1,3,3,4,3,3,3,2,3,3,3,3,3,39281.171875,41042.11328125,10617.791015625,31092.720703125,27616.537109375,38451.00390625,19703.646484375,15471.7373046875,28395.044921875,39913.0859375,115534.40625,85688.0234375,318103.15625,359509.875,554220.6875,356691.84375,75448.2421875,300230.5625,276823.78125,251261.265625
A6NI28,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,78343.5859375,Filtered,Filtered,78695.015625,67208.9921875,Filtered
A6NIX2,2,2,Filtered,1,2,1,1,1,1,Filtered,2,1,2,2,Filtered,2,1,1,2,3,43909.671875,49813.890625,Filtered,175901.859375,44354.77734375,39519.5078125,65275.28515625,43391.55078125,26521.87890625,Filtered,213874.34375,294050.03125,228475.921875,231127.46875,Filtered,196839.671875,334012.5625,84747.140625,228371.453125,128267.34375
A6NKD9,1,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,112654.3125,Filtered,Filtered,Filtered,Filtered,Filtered,188250.359375,187314.71875,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A6NKF1,3,3,2,3,3,2,2,3,2,3,1,2,3,3,2,3,2,2,2,3,292599.65625,315140.15625,484739,341077.75,282439.28125,677780.875,438917.25,292923.5625,283105.28125,295625.34375,379184.5625,472103.0625,264351.5,238794.875,532540.4375,284656.875,367509.625,482421.25,504821.625,199742.515625
A6NM28,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,Filtered,Filtered,Filtered,1,1,1,2,1,2,2,Filtered,2,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,244110.734375,320330.6875,Filtered,Filtered,Filtered,17923.8828125,42364,50495.0234375,47884.96875,63721.796875,39212.04296875,192104.625,Filtered,149134.5625
A7E2V4,2,2,2,1,1,3,3,3,2,2,2,3,3,3,3,3,3,2,3,3,142083.28125,185175.875,177910.734375,241889,284032.5625,130477.6484375,120202.59375,104375.328125,99711.0078125,145810.59375,386173.4375,250928.125,165465.28125,214542.796875,245548.9375,232419.90625,192299.8125,284438.78125,220729.71875,165076.484375
A7KAX9,1,2,3,2,3,2,3,2,1,2,2,3,3,3,2,3,3,2,3,3,107704.203125,113174.734375,101968.21875,116734.828125,103695.4921875,107748.203125,87333.3515625,86636.9375,85494.1796875,90080.8046875,115752.453125,155944.421875,112071.296875,118251.4140625,133702.8125,100042.9375,123656.9765625,88343.234375,114274.6640625,128585.53125
A7MCY6,Filtered,1,2,Filtered,1,Filtered,1,Filtered,Filtered,1,1,1,1,1,1,Filtered,Filtered,1,1,1,Filtered,247187.828125,130032.3125,Filtered,266377.34375,Filtered,174440.609375,Filtered,Filtered,197611.6875,332145.1875,260628.609375,285866.40625,303786.3125,271822.40625,Filtered,Filtered,335384.28125,269813.4375,173529.5625
A7XYQ1,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,19743.41015625,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A8CG34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,240718.953125,250465.578125,208117.09375,209338.515625,254545.71875,242107.171875,211321.640625,239253.125,162212.34375,163216.5625,1268573.25,1440186.25,1239825.625,1514439.25,930579.25,659607.3125,1157044.5,1030827.0625,789970.625,1203045.125
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5,2,2,3,1,Filtered,1,Filtered,3,1,2,2,3,3,3,3,2,1,2,3,3,30675.8359375,22743.30078125,24753.87109375,28867.744140625,Filtered,41884.58203125,Filtered,16879.29296875,8288.8193359375,18946.98046875,238893.5,188806.03125,196431.1875,224402.5625,174019.46875,245256.28125,267590.25,196743.21875,201602.375,167707.9375
A8MPP1;Q96FC9,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,159123.484375,Filtered,Filtered,Filtered,Filtered,Filtered,142462.421875,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A8MQ14,3,1,2,3,3,2,3,3,4,3,6,6,6,6,6,6,6,6,6,6,30004.3671875,27732.611328125,39510.91796875,26378.27734375,25632.279296875,38415.796875,27707.5390625,27470.54296875,21795.783203125,28554.0234375,343625.8125,339548.90625,271456.75,329223.875,317416.5,350199,352317.40625,288593.6875,350402.375,281935.875
A8MT19;Q8IUC4,2,2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,1,2,2,1,346775.96875,316442.34375,328260.25,39754.16015625,42148.1796875,48497.59765625,313366.125,41897.6015625,49336.4140625,336755,31477.75,274561.875,276162.1875,280724.3125,32725.59375,290211.4375,27412.12109375,253725.59375,245937.625,26283.783203125
A8MU93,Filtered,1,Filtered,1,1,Filtered,1,1,1,1,2,Filtered,1,1,1,2,3,2,1,2,Filtered,92063.125,Filtered,6444.021484375,84026.6484375,Filtered,71122.1171875,55129.515625,61786.1171875,73382.8984375,70483.875,Filtered,56638.17578125,52592,55997.515625,57263.7421875,72511.734375,57612.5859375,52115.1484375,48634.24609375
A8MWD9;P62308,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,77473.890625,81717.8984375,65612.2578125,86625.375,65351.39453125,58366.359375,100516.71875,91026.6484375,324723.40625,99100.046875,77909.421875,76917.1484375,101076.640625,67878.5546875,115381.2578125,103175.53125,70642.203125,92860.46875,70727.09375,108325.3125
A8MYA2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,655353.3125,807010.3125,614111.625,601314.8125,819901.5,670120.75,615161.5,290052.34375,526544,691729.4375,482101.25,521807.125,484525.5625,485100.1875,432403.34375,329097.6875,461682.375,468541.125,573037.875,431792.96875
B2RTY4,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,127387.3125,81355.28125,204403.40625,102316.4765625,163122.859375,228583.84375,202133.5,89538.5703125,118573.6015625,201058.453125,248476.25,277453.6875,188722.53125,200428.390625,190742.578125,177081.234375,170552.84375,181790.28125,190511.9375,194919.8125
B3KU38;P0DPB3,3,4,2,2,3,2,4,3,2,3,3,3,3,3,3,3,3,3,2,2,193361.390625,147332.421875,348096.78125,402753.625,199746.3125,416647.65625,137684.28125,209671.796875,288783.84375,220886.421875,299479.125,252347.5625,187176.4375,226569.09375,290159,266662.625,237893.140625,230496.96875,438938.28125,346665.90625
C9J798;O43374,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,466641.59375,585822.875,602691.1875,478818.9375,705746.375,583154.9375,587580.3125,501397.21875,322183.6875,456361.4375,266790.8125,346004.9375,337810.59375,416048.15625,340720.875,361242.96875,304074.21875,277382.15625,350062.0625,262354.3125
C9JLW8,2,2,2,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,6230440,6055569,5877343,3295040.5,2395224.5,3356778.5,2352434.5,2598749,2296623.25,3994461.5,1122523.75,1521317.25,1511861.75,1628474.375,2034805,1939481.625,1095343.625,1784974.25,1411484.25,1315281.375
C9JQL5;Q01628,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,Filtered,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,467602.1875,483632.125,550635.1875,679017,722748.6875,543977.125,Filtered,508099.78125,494979.6875,516409.71875
